M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M1M2,M1M3,M1M4,M1M5,M1M6,M1M7,M1M8,M2M1,M2M2,M2M3,M2M4,M2M5,M2M6,M2M7,M2M8,M3M1,M3M2,M3M3,M3M4,M3M5,M3M6,M3M7,M3M8,M4M1,M4M2,M4M3,M4M4,M4M5,M4M6,M4M7,M4M8,M5M1,M5M2,M5M3,M5M4,M5M5,M5M6,M5M7,M5M8,M6M1,M6M2,M6M3,M6M4,M6M5,M6M6,M6M7,M6M8,M7M1,M7M2,M7M3,M7M4,M7M5,M7M6,M7M7,M7M8,M8M1,M8M2,M8M3,M8M4,M8M5,M8M6,M8M7,M8M8
,,,,,,,,9043.49533986664,-8277.359802420957,-487340.8183209677,-205750.12410781832,9657.057887264667,-9796.433250543685,-16128.48585129013,-253112.8695978074,-8277.359802420957,7576.128778073175,446054.8878558275,188319.64219912927,-8838.943324636643,8966.511260052923,14762.132941106016,231669.96980121228,-487340.8183209677,446054.8878558275,26262088.30503503,11087575.111618679,-520404.812131182,527915.547863499,869140.6583023451,13639884.620008316,-205750.12410781832,188319.64219912927,11087575.111618679,4681056.602502425,-219709.3915736337,222880.34453092833,366941.9666691697,5758614.603742681,9657.057887264667,-8838.943324636643,-520404.812131182,-219709.3915736337,10312.248033884205,-10461.079420495376,-17222.73475535785,-270285.49712878437,-9796.433250543685,8966.511260052923,527915.547863499,222880.34453092833,-10461.079420495376,10612.058814172302,17471.30165235779,274186.3890765331,-16128.48585129013,14762.132941106016,869140.6583023451,366941.9666691697,-17222.73475535785,17471.30165235779,28764.105700208376,451410.34330956824,-253112.8695978074,231669.96980121228,13639884.620008316,5758614.603742681,-270285.49712878437,274186.3890765331,451410.34330956824,7084221.57012815
,,,,,,,,13733.851361151821,-13849.869944578488,-9068.77606353276,-529314.2259574305,2048.2427086245984,-1676.4892987332569,-93111.53418193043,-126311.71238009566,-13849.869944578488,13966.868610819973,9145.385786809718,533785.6801088037,-2065.54551839876,1690.6516708497325,93898.10657247108,127378.74780629721,-9068.77606353276,9145.385786809718,5988.320182577486,349518.28560109984,-1352.501491374989,1107.0242150812012,61483.674915576245,83406.51166624951,-529314.2259574305,533785.6801088037,349518.28560109984,20400217.13016533,-78941.00317375608,64613.31291199342,3588597.1347139957,4868160.030983522,2048.2427086245984,-2065.54551839876,-1352.501491374989,-78941.00317375608,305.47135563887326,-250.02869857254456,-13886.492285510967,-18837.909126367627,-1676.4892987332569,1690.6516708497325,1107.0242150812012,64613.31291199342,-250.02869857254456,204.64881225650666,11366.111845814421,15418.852916152695,-93111.53418193043,93898.10657247108,61483.674915576245,3588597.1347139957,-13886.492285510967,11366.111845814421,631269.2317492571,856356.8234126478,-126311.71238009566,127378.74780629721,83406.51166624951,4868160.030983522,-18837.909126367627,15418.852916152695,856356.8234126478,1161702.4434618563
,,,,,,,,8074.6007095407385,-9114.53021224104,-950248.0851588207,-166830.73454002553,7124.55040941144,-5378.76940862314,-2677988.6384496465,-144903.81889792107,-9114.53021224104,10288.392451616315,1072630.7334393114,188316.8994968067,-8042.122736606288,6071.5022380793225,3022887.3514881018,163566.01183432702,-950248.0851588207,1072630.7334393114,111828616.15449019,19633241.536635138,-838442.7450587557,632992.9509722706,315155345.42247266,17052803.153133467,-166830.73454002553,188316.8994968067,19633241.536635138,3446918.923715734,-147201.57947440527,111131.6935216052,55330390.65504559,2993883.092674929,7124.55040941144,-8042.122736606288,-838442.7450587557,-147201.57947440527,6286.282178172469,-4745.908209065527,-2362898.8895911365,-127854.56512228992,-5378.76940862314,6071.5022380793225,632992.9509722706,111131.6935216052,-4745.908209065527,3582.983405848888,1783900.391274279,96525.42042851503,-2677988.6384496465,3022887.3514881018,315155345.42247266,55330390.65504559,-2362898.8895911365,1783900.391274279,888170623.6187739,48058200.601558805,-144903.81889792107,163566.01183432702,17052803.153133467,2993883.092674929,-127854.56512228992,96525.42042851503,48058200.601558805,2600390.7173257326
,,,,,,,,642.4891768973871,-341.2677598828382,-282636.6772266732,-22564.189548074337,620.3720687506564,-527.1730763543159,-27056.976128947947,-17200.068358381435,-341.2677598828382,181.26948767893577,150126.70900334945,11985.307609116235,-329.5199262636475,280.0158840134284,14371.718567026095,9136.07420881737,-282636.6772266732,150126.70900334945,124334376.64972985,9926186.755359326,-272907.16553802206,231908.10364101102,11902603.349392487,7566462.352502764,-22564.189548074337,11985.307609116235,9926186.755359326,792453.27122879,-21787.43775454522,18514.293543344862,950239.7237561729,604065.5883925332,620.3720687506564,-329.5199262636475,-272907.16553802206,-21787.43775454522,599.0163220250415,-509.02562055112605,-26125.56422554863,-16607.971579645753,-527.1730763543159,280.0158840134284,231908.10364101102,18514.293543344862,-509.02562055112605,432.5542941827003,22200.69980263785,14112.942717229056,-27056.976128947947,14371.718567026095,11902603.349392487,950239.7237561729,-26125.56422554863,22200.69980263785,1139443.2522236565,724341.9122425563,-17200.068358381435,9136.07420881737,7566462.352502764,604065.5883925332,-16607.971579645753,14112.942717229056,724341.9122425563,460462.7784729885
,,,,,,,,2077.958992279564,-2204.212080417215,-27609.29171705574,-1588.0442284178268,1800.2247879652978,-2229.138200680821,-318647.4893046918,-13104.878820688546,-2204.212080417215,2338.1360813705264,29286.78311776313,1684.5309678972121,-1909.6032404116727,2364.5766683152665,338007.94333746994,13901.107921902221,-27609.29171705574,29286.78311776313,366837.3591344329,21099.923783325416,-23919.11077739007,29617.969887227406,4233784.939841114,174121.0599541887,-1588.0442284178268,1684.5309678972121,21099.923783325416,1213.6353415928638,-1375.790665265629,1703.5803242938193,243520.83374611055,10015.17703315176,1800.2247879652978,-1909.6032404116727,-23919.11077739007,-1375.790665265629,1559.6117629104253,-1931.1978049497925,-276057.95446421276,-11353.317261763837,-2229.138200680821,2364.5766683152665,29617.969887227406,1703.5803242938193,-1931.1978049497925,2391.316256093856,341830.2736479404,14058.307263534136,-318647.4893046918,338007.94333746994,4233784.939841114,243520.83374611055,-276057.95446421276,341830.2736479404,48863438.98865701,2009585.7278076776,-13104.878820688546,13901.107921902221,174121.0599541887,10015.17703315176,-11353.317261763837,14058.307263534136,2009585.7278076776,82647.37155208788
,,,,,,,,1048.1643963500592,-1499.313990504039,-496382.16919619514,-22630.19254011878,1959.9327448976337,-2844.8940593616703,-1909957.0576821952,-51974.89158813537,-1499.313990504039,2144.64682252992,710034.3548246648,32370.651399104176,-2803.5245187727273,4069.3897632430676,2732038.359456421,74345.85870726008,-496382.16919619514,710034.3548246648,235073103.7554061,10717044.1025361,-928170.8773725849,1347264.502817259,904503750.237325,24613895.988162708,-22630.19254011878,32370.651399104176,10717044.1025361,488592.8354237013,-42315.552347672005,61422.14002286462,41236561.8496658,1122153.936908274,1959.9327448976337,-2803.5245187727273,-928170.8773725849,-42315.552347672005,3664.8224056248787,-5319.586356991198,-3571374.291795235,-97186.36913333021,-2844.8940593616703,4069.3897632430676,1347264.502817259,61422.14002286462,-5319.586356991198,7721.519865752369,5183943.955697275,141068.577438754,-1909957.0576821952,2732038.359456421,904503750.237325,41236561.8496658,-3571374.291795235,5183943.955697275,3480308981.008085,94708245.53543852,-51974.89158813537,74345.85870726008,24613895.988162708,1122153.936908274,-97186.36913333021,141068.577438754,94708245.53543852,2577257.312884564
,,,,,,,,9921.994631339589,-9864.961924262769,-2578.3282705794018,-245210.9132057963,7340.0669459796145,-6415.221828339014,-677997.7536387272,-73069.74621885497,-9864.961924262769,9808.25704740531,2563.5077585283907,243801.41413786367,-7297.87544078246,6378.346433727045,674100.5486190951,72649.7333497576,-2578.3282705794018,2563.5077585283907,670.0040584451959,63720.47690654086,-1907.3888686643584,1667.0587333115084,176184.4105493176,18987.89501508732,-245210.9132057963,243801.41413786367,63720.47690654086,6060111.317264693,-181401.4808202268,158544.97622645687,16755950.23969336,1805836.413320265,7340.0669459796145,-7297.87544078246,-1907.3888686643584,-181401.4808202268,5430.015311768872,-4745.835836736453,-501567.3849704712,-54055.343597754436,-6415.221828339014,6378.346433727045,1667.0587333115084,158544.97622645687,-4745.835836736453,4147.86266632367,438370.1211618923,47244.39473629331,-677997.7536387272,674100.5486190951,176184.4105493176,16755950.23969336,-501567.3849704712,438370.1211618923,46329490.290915206,4993060.935434804,-73069.74621885497,72649.7333497576,18987.89501508732,1805836.413320265,-54055.343597754436,47244.39473629331,4993060.935434804,538116.37789276
,,,,,,,,2429.5941219385545,-1691.5738396646993,-872488.0006684131,-22125.1629096332,5897.60221489241,-5899.8075943863,-7.790934128680591,-239108.7176935761,-1691.5738396646993,1177.7366553533097,607458.6137763837,15404.361756684295,-4106.130128229251,4107.665595501217,5.424338262767775,166476.38716029722,-872488.0006684131,607458.6137763837,313317893.07383615,7945334.974751395,-2117879.327557584,2118671.298170273,2797.7909889937355,85865982.78250703,-22125.1629096332,15404.361756684295,7945334.974751395,201483.3792021287,-53706.67001638729,53726.75336287684,70.94834699292986,2177449.8400015724,5897.60221489241,-4106.130128229251,-2117879.327557584,-53706.67001638729,14315.85282950545,-14321.206172629882,-18.911730958883826,-580413.0370321098,-5899.8075943863,4107.665595501217,2118671.298170273,53726.75336287684,-14321.206172629882,14326.561517610784,18.918802908149132,580630.0796476026,-7.790934128680591,5.424338262767775,2797.7909889937355,70.94834699292986,-18.911730958883826,18.918802908149132,0.024983043072646642,766.745462677345,-239108.7176935761,166476.38716029722,85865982.78250703,2177449.8400015724,-580413.0370321098,580630.0796476026,766.745462677345,23531905.333821103
,,,,,,,,404.3320922394281,-498.1249054971687,-34542.97599079023,-18842.115217011848,321.09943718711605,-180.18129798877303,-77974.8279831278,-25262.759291958682,-498.1249054971687,613.6748139438614,42555.90140199476,23212.915922298263,-395.584792486153,221.97790814948968,96062.62912530186,31122.95518074516,-34542.97599079023,42555.90140199476,2951082.0763486135,1609723.1608603816,-27432.228018256734,15393.282823392667,6661560.293146895,2158252.843225947,-18842.115217011848,23212.915922298263,1609723.1608603816,878053.740144175,-14963.424144959126,8396.555311382099,3633673.213391061,1177259.5606802665,321.09943718711605,-395.584792486153,-27432.228018256734,-14963.424144959126,255.00040818137288,-143.0905794674818,-61923.537262331105,-20062.364442835333,-180.18129798877303,221.97790814948968,15393.282823392667,8396.555311382099,-143.0905794674818,80.29365159986972,34747.68880856407,11257.767680008012,-77974.8279831278,96062.62912530186,6661560.293146895,3633673.213391061,-61923.537262331105,34747.68880856407,15037326.780873016,4871884.641309094,-25262.759291958682,31122.95518074516,2158252.843225947,1177259.5606802665,-20062.364442835333,11257.767680008012,4871884.641309094,1578422.8343307606
,,,,,,,,12492.70344424552,-12159.24188516136,-78551.2444532312,-428465.2840735499,9786.299214853234,-11101.02499843955,-1221045.5839997865,-188584.2523673796,-12159.24188516136,11834.681250675554,76454.51490543736,417028.47199534305,-9525.07836634648,10804.710824335225,1188452.8176725789,183550.46611816596,-78551.2444532312,76454.51490543736,493912.1490147509,2694091.108397171,-61533.99745292898,69800.69063718329,7677653.646816261,1185774.3821305062,-428465.2840735499,417028.47199534305,2694091.108397171,14695177.907292029,-335643.08092595445,380734.5504271063,41878496.94424718,6467919.9040466165,9786.299214853234,-9525.07836634648,-61533.99745292898,-335643.08092595445,7666.2071384358405,-8696.112311569896,-956519.7391683378,-147729.58704360167,-11101.02499843955,10804.710824335225,69800.69063718329,380734.5504271063,-8696.112311569896,9864.378560330286,1085021.9580341987,167576.09825490793,-1221045.5839997865,1188452.8176725789,7677653.646816261,41878496.94424718,-956519.7391683378,1085021.9580341987,119345850.54863791,18432356.90279343,-188584.2523673796,183550.46611816596,1185774.3821305062,6467919.9040466165,-147729.58704360167,167576.09825490793,18432356.90279343,2846783.3563555274
